Kjoretoytype,Kjoretoytype_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2005,2005,37743.6,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2006,2006,39342.7,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2007,2007,42366.4,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2008,2008,43034.2,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2009,2009,42609.7,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2010,2010,42561.1,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2011,2011,42903.5,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2012,2012,43952.0,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2013,2013,43913.1,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2014,2014,43738.2,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2015,2015,44118.0,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2016,2016,44625.1,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2017,2017,45283.4,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2018,2018,45999.1,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2019,2019,45562.3,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2020,2020,43624.2,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2021,2021,45097.2,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2022,2022,45403.6,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2023,2023,45699.1,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2024,2024,45599.4,
0,Kjøretøy i alt,0,Alle typer drivstoff,Kjorelengde,Kjørelengde (mill. km),2025,2025,46191.7,
0,Kjøretøy i alt,0,Alle typer drivstoff,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2005,2005,14031.0,
0,Kjøretøy i alt,0,Alle typer drivstoff,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2006,2006,14230.0,
0,Kjøretøy i alt,0,Alle typer drivstoff,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2007,2007,14825.0,
0,Kjøretøy i alt,0,Alle typer drivstoff,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2008,2008,14762.0,
0,Kjøretøy i alt,0,Alle typer drivstoff,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2009,2009,14479.0,
0,Kjøretøy i alt,0,Alle typer drivstoff,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2010,2010,14112.0,
0,Kjøretøy i alt,0,Alle typer drivstoff,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2011,2011,13843.0,
0,Kjøretøy i alt,0,Alle typer drivstoff,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2012,2012,13844.0,
0,Kjøretøy i alt,0,Alle typer drivstoff,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2013,2013,13523.0,
